file_name,Distance
image_0001.jpg,1119.81
image_0002.jpg,9788.23
image_0003.jpg,5733.04
image_0004.jpg,73.13
image_0005.jpg,23525.54
image_0006.jpg,8000.67
image_0007.jpg,6301.72
image_0008.jpg,30901.37
image_0009.jpg,319.77
image_0010.jpg,4882.83
image_0011.jpg,45211.25
image_0012.jpg,6880.65
image_0013.jpg,11174.34
image_0014.jpg,491.29
image_0015.jpg,1391.71
image_0016.jpg,5955.49
image_0017.jpg,72.98
image_0018.jpg,450.15
image_0019.jpg,201.81
image_0020.jpg,661.31
image_0021.jpg,325.64
image_0022.jpg,1299.31
image_0023.jpg,23941.71
image_0024.jpg,353.79
image_0025.jpg,84.49
image_0026.jpg,28103.66
image_0027.jpg,427.04
image_0028.jpg,17379.5
image_0029.jpg,1038.18
image_0030.jpg,8029.74
image_0031.jpg,3510.82
image_0032.jpg,165.14
image_0033.jpg,29018.56
image_0034.jpg,11599.85
image_0035.jpg,3073.8
image_0036.jpg,24949.25
image_0037.jpg,195795.72
image_0038.jpg,477.37
image_0039.jpg,83.87
image_0040.jpg,2304.96
image_0041.jpg,4679.24
image_0042.jpg,9782.53
image_0043.jpg,1609.12
image_0044.jpg,23091.59
image_0045.jpg,20791.88
image_0046.jpg,29023.95
image_0047.jpg,179.65
image_0048.jpg,489.61
image_0049.jpg,63582.91
image_0050.jpg,13635.86
image_0051.jpg,17361.6
image_0052.jpg,4629.16
image_0053.jpg,140956.84
image_0054.jpg,76845.11
image_0055.jpg,59302.84
image_0056.jpg,17065.03
image_0057.jpg,9543.94
image_0058.jpg,115305.99
image_0059.jpg,72.72
image_0060.jpg,25582.54
image_0061.jpg,77.86
image_0062.jpg,2404.05
image_0063.jpg,3510.35
image_0064.jpg,187800.94
image_0065.jpg,711.12
image_0066.jpg,377.88
image_0067.jpg,4921.81
image_0068.jpg,4465.36
image_0069.jpg,4061.01
image_0070.jpg,34792.74
image_0071.jpg,79.93
image_0072.jpg,49909.1
image_0073.jpg,882.41
image_0074.jpg,206.38
image_0075.jpg,794.99
image_0076.jpg,49975.81
image_0077.jpg,13452.2
image_0078.jpg,20588.96
image_0079.jpg,15314.78
image_0080.jpg,87586.8
image_0081.jpg,31242.94
image_0082.jpg,38158.77
image_0083.jpg,105.94
image_0084.jpg,1360.6
image_0085.jpg,162.94
image_0086.jpg,13820.98
image_0087.jpg,188285.53
image_0088.jpg,5651.38
image_0089.jpg,1502.06
image_0090.jpg,9523.48
image_0091.jpg,677.33
image_0092.jpg,9415.8
image_0093.jpg,42122.25
image_0094.jpg,1929.55
image_0095.jpg,1227.09
image_0096.jpg,16629.73
image_0097.jpg,102.18
image_0098.jpg,532.9
image_0099.jpg,76.58
image_0100.jpg,7918.52
image_0101.jpg,3293.96
image_0102.jpg,1189.13
image_0103.jpg,13888.53
image_0104.jpg,19814.42
